id_producto;nombre_producto;categoria;precio_con_iva;stock_disponible
32011;"Pulsera de Plata 925 Diseño Hilo Rojo Placa Lisa con Cristales Rojos y Esferas , ajustable";"Pulsera Macramé Hilo";5700;89
32012;"Tobillera de Plata 925 Varitas y Mini Esferas";"Tobilleras de Plata";4600;206
32009;"Pulsera de Plata 925 Diseño Esferas Hexagonales Lapislázuli con Esferas Lisas";"Pulsera de Plata";11200;43
32010;"Pulsera de Plata 925 Diseño Hilo Negro Piedra Volcanica";"Pulsera Macramé Hilo";4100;52
32006;"Insumos de Plata 925 Diseño Circular con Ola";"Insumos de Plata";2200;43
32007;"Insumos de Plata 925 Placa Lisa de Corazón (1 unidad)";"Insumos de Plata";3000;51
32008;"Pulsera de Plata 925 Diseño Doble Corazón Hilo Rojo con Esferas Lisas , Ajustable";"Pulsera Macramé Hilo";5900;64
32001;"Aros de Plata 925 Piercing de Naríz Estrella de Circón (set par)";Piercing;3400;138
32002;"Aros Enchapado en Oro Mini Argolla con Circones y Broche Huggies";"Aros Enchapado";5500;18
32003;"Aros Enchapados en Oro Diseño Cuadrado con Relieves";"Aros Enchapado";10000;30
32004;"Insumo de Plata 925 Alargue Eslabón Circular";"Insumos de Plata";7500;52
32005;"Insumos de Plata 925 Broche Resorte";"Insumos de Plata";700;476
31996;"Collar Enchapado en Oro Relieve de Corazón con Aplicación de Circón";"Collares Enchapado";6500;81
31997;"Collar Enchapado en Plata Diseño Eslabón con Esferas y Broche Timón";"Collares Enchapado";6500;39
31998;"Collar Enchapado en Plata Diseño Placas Satinadas con Varita Colgante";"Collares Enchapado";9500;26
31999;"Collar Enchapado en Plata Satinado Estilo Tiara";"Collares Enchapado";8400;12
32000;"Pulsera Enchapada en Plata Esclava Satinada con Placa Diseño Irregular con Relieve";"Pulseras Enchapado";6800;18
31993;"Collar Enchapado en Oro Diseño Cinta";"Collares Enchapado";18500;39
31994;"Collar Enchapado en Oro Diseño Perla Imitación y Banda con Relieves";"Collares Enchapado";8000;81
31995;"Collar Enchapado en Oro Doble Diseño Serie Perlas Imitación y Esferas Lisas";"Collares Enchapado";11500;30
31991;"Aros Enchapado en Oro Mini Argolla con Luna de Circones y Estrellas";"Aros Enchapado";3400;39
31992;"Aros Enchapado en Plata Diseño Placa Irregular con Relieves";"Aros Enchapado";7500;20
31986;"Aros de Plata 925 Diseño Gota con Calado de Flores";"Aros de Plata Largos";21000;28
31987;"Aros Enchapado en Oro Argolla con Colgante Mariposa Acrílico Rosa";"Aros Enchapado";5500;41
31988;"Aros Enchapado en Oro Argolla Diseño Anudado";"Aros Enchapado";2500;62
31989;"Aros Enchapado en Oro Diseño Mariposa Color Rojo";"Aros Enchapado";4000;46
31990;"Aros Enchapado en Oro Diseño Punto de Luz Rosa";"Aros Enchapado";2200;139
31985;"Cadena de Plata 925 Diseño Tourbillon 70 cm";"Cadena Tourbillon";14700;48
31983;"Aros Enchapados en Oro Argollas Anudadas 15 mm";"Enchapado en Oro";3000;67
31984;"Cadena de Plata 925 Diseño Tourbillon 45 cm";"Cadena Tourbillon";9700;58
31978;"Accesorios Caja Conjunto Color Azul con Cinta Plateada";Cajas;700;40
31979;"Accesorios Caja Conjunto Color Plateado con Cinta";Cajas;700;35
31980;"Accesorios Caja de Conjunto Color Rojo con Cinta Dorada";Cajas;700;39
31981;"Accesorios Alicate para Bisutería";ACCESORIOS;3500;10
31982;"Accesorios Set Alicates de Colores para Bisutería";ACCESORIOS;8000;8
31977;"Anillo de Plata 925 Estilo Lady con Circón Azul";"Anillo Circón";7000;68
31975;"Anillo de Plata 925 Diseño Rombo con Flor Calada de Circones";"Anillo Circón";5400;60
31976;"Anillo de Plata 925 Diseño Trébol de Circones y Doble Circón Tradicional";"Anillo Circón";5900;58
31970;"Anillo de Plata 925 Diseño Trébol con Circones";"Anillo Circón";6900;61
31971;"Anillo de Plata 925 Estilo Cintillo Circones de Colores";"Anillo Circón";8600;71
31972;"Anillo de Plata 925 Estilo Hello Kitty con Aplicación Color Magenta";"Anillo Circón";8500;45
31973;"Anillo de Plata 925 Diseño Flores de Circones de Colores";"Anillo Circón";6900;76
31974;"Anillo de Plata 925 Diseño Inflado Irregular";"Anillos de Plata Lisa";23000;15
31969;"Anillo de Plata 925 Diseño Sello Satinado";"Anillos de Hombres";17500;45
31965;"Anillo de Plata 925 Diseño Flor de Pétalos En Punta con Circones";"Anillo Circón";5900;66
31966;"Anillo de Plata 925 Diseño Liso con Serie de Circones Tradicionales y Circones Magenta";"Anillo Circón";5200;47
31967;"Anillo de Plata 925 Diseño Liso con Series Ovaladas de Circones";"Anillo Circón";5800;80
31968;"Anillo de Plata 925 Diseño Mickey Mouse Banda de Circones y Lisa";"Anillo Circón";9300;80
31961;"Anillo de Plata 925 Diseño Circón de Estrella Semi Abierto con Serie de Circones";"Anillo Circón";5000;56
31962;"Anillo de Plata 925 Diseño Copo de Nieve";"Anillo Circón";7700;68
